date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:48	1478/1478	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Dec%202025%2010:34:47%20GMT	https://gearo-html.vercel.app/robots.txt		(from )
17:34:48	313012/313012	---MCZ	200	added ('OK')	text/html	etag:W/%22319de5f4eacac38d3f1a5f661a614694%22	https://gearo-html.vercel.app/	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/index.html	(from )
17:34:48	4677/4677	---MCZ	200	added ('OK')	text/css	etag:W/%227eb0dec9a28183e72ab1bb1e7996ff6c%22	https://gearo-html.vercel.app/fonts/fonts.css	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/fonts/fonts.css	(from https://gearo-html.vercel.app/)
17:34:48	3143/3143	---MCZ	200	added ('OK')	text/css	etag:W/%228b3e64fb0ff0e9618adf08ed70ff9113%22	https://gearo-html.vercel.app/fonts/font-icons.css	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/fonts/font-icons.css	(from https://gearo-html.vercel.app/)
17:34:49	298776/298776	---MCZ	200	added ('OK')	text/css	etag:W/%22c2dfee21bb0d6aee22c9962317b0034d%22	https://gearo-html.vercel.app/css/bootstrap.min.css	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/css/bootstrap.min.css	(from https://gearo-html.vercel.app/)
17:34:49	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%22a2431bc290cf34e330e11ec4cfce1247%22	https://gearo-html.vercel.app/css/swiper-bundle.min.css	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/css/swiper-bundle.min.css	(from https://gearo-html.vercel.app/)
17:34:50	54908/54908	---MCZ	200	added ('OK')	text/css	etag:W/%22631799c60619c12688b6f7df8729d60b%22	https://gearo-html.vercel.app/css/animate.css	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/css/animate.css	(from https://gearo-html.vercel.app/)
17:34:50	256390/256390	---MCZ	200	added ('OK')	text/css	etag:W/%22c987654d5697780be413a7b5d42bfc19%22	https://gearo-html.vercel.app/css/styles.css	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/css/styles.css	(from https://gearo-html.vercel.app/)
17:34:50	760/760	---M--	200	added ('OK')	image/png	etag:%229c74011e99bdc4d2de562c0355e2cb1c%22	https://gearo-html.vercel.app/images/logo/favicon.png	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/images/logo/favicon.png	(from https://gearo-html.vercel.app/)
17:34:51	6006/6006	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227f0109d94c888a663452af48e2d324d7%22	https://gearo-html.vercel.app/images/country/us.svg	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/images/country/us.svg	(from https://gearo-html.vercel.app/)
17:34:51	490/490	---M--	200	added ('OK')	image/svg+xml	etag:%223baca05a6f5d1e7682c2b7c53f1e69db%22	https://gearo-html.vercel.app/images/country/vn.svg	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/images/country/vn.svg	(from https://gearo-html.vercel.app/)
17:34:51	224784/224784	---MCZ	200	added ('OK')	text/html	etag:W/%22692ecfc0b664909704829e62762b42e2%22	https://gearo-html.vercel.app/about.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/about.html	(from https://gearo-html.vercel.app/)
17:34:52	195075/195075	---MCZ	200	added ('OK')	text/html	etag:W/%229b00ac6c4ee66d1455ed273dbecae8ca%22	https://gearo-html.vercel.app/contact.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/contact.html	(from https://gearo-html.vercel.app/)
17:34:53	199282/199282	---MCZ	200	added ('OK')	text/html	etag:W/%220416f1ca51ea6904caba36b4fb35b4db%22	https://gearo-html.vercel.app/store-list.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/store-list.html	(from https://gearo-html.vercel.app/)
17:34:53	274008/274008	---MCZ	200	added ('OK')	text/html	etag:W/%22a06e0b4a3012c204cd082faa5950c820%22	https://gearo-html.vercel.app/shop-default.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-default.html	(from https://gearo-html.vercel.app/)
17:34:54	275283/275283	---MCZ	200	added ('OK')	text/html	etag:W/%226928958368ae48f3103183e595670451%22	https://gearo-html.vercel.app/shop-list.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-list.html	(from https://gearo-html.vercel.app/)
17:34:54	275355/275355	---MCZ	200	added ('OK')	text/html	etag:W/%22d01d398a2cc1b76344d411e5d26075c6%22	https://gearo-html.vercel.app/shop-full-grid.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-full-grid.html	(from https://gearo-html.vercel.app/)
17:34:55	275355/275355	---MCZ	200	added ('OK')	text/html	etag:W/%229564c30af4bbcc8ff8d8f673f586c51f%22	https://gearo-html.vercel.app/shop-full-list.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-full-list.html	(from https://gearo-html.vercel.app/)
17:34:55	280504/280504	---MCZ	200	added ('OK')	text/html	etag:W/%2292b011e782fc0972bc12825a43e74923%22	https://gearo-html.vercel.app/shop-sidebar-left.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-sidebar-left.html	(from https://gearo-html.vercel.app/)
17:34:56	280506/280506	---MCZ	200	added ('OK')	text/html	etag:W/%22db6851a8dd98a1fca3c7967b63a2153a%22	https://gearo-html.vercel.app/shop-sidebar-right.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-sidebar-right.html	(from https://gearo-html.vercel.app/)
17:34:57	274015/274015	---MCZ	200	added ('OK')	text/html	etag:W/%224616bb1f98d14a3018c6faeebc4a5039%22	https://gearo-html.vercel.app/shop-filter-canvas.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-filter-canvas.html	(from https://gearo-html.vercel.app/)
17:34:57	267329/267329	---MCZ	200	added ('OK')	text/html	etag:W/%220cf61a2d77bacee56c3e33c6909a3c05%22	https://gearo-html.vercel.app/shop-filter-dropdown.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-filter-dropdown.html	(from https://gearo-html.vercel.app/)
17:34:57	280504/280504	---MCZ	200	added ('OK')	text/html	etag:W/%221ffe1f2ac5ef3e8af9abd30c966e92b5%22	https://gearo-html.vercel.app/shop-filter-sidebar.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-filter-sidebar.html	(from https://gearo-html.vercel.app/)
17:34:58	274015/274015	---MCZ	200	added ('OK')	text/html	etag:W/%2288e6e0ee875cd251d2dc15346f270178%22	https://gearo-html.vercel.app/shop-pagination.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-pagination.html	(from https://gearo-html.vercel.app/)
17:34:59	341858/341858	---MCZ	200	added ('OK')	text/html	etag:W/%229c834f4eb57fefad36582b36b8963096%22	https://gearo-html.vercel.app/shop-load-button.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-load-button.html	(from https://gearo-html.vercel.app/)
17:34:59	341889/341889	---MCZ	200	added ('OK')	text/html	etag:W/%22253533b3c550a062bd72345bc8dc173f%22	https://gearo-html.vercel.app/shop-infinite-scrolling.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/shop-infinite-scrolling.html	(from https://gearo-html.vercel.app/)
17:35:00	236214/236214	---MCZ	200	added ('OK')	text/html	etag:W/%228fe61e480a88f3accda4ab80d8ecbcdc%22	https://gearo-html.vercel.app/product-style-01.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/product-style-01.html	(from https://gearo-html.vercel.app/)
17:35:01	237558/237558	---MCZ	200	added ('OK')	text/html	etag:W/%222faa77628864e1c738948760b74ce4f0%22	https://gearo-html.vercel.app/product-style-02.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/product-style-02.html	(from https://gearo-html.vercel.app/)
17:35:01	236226/236226	---MCZ	200	added ('OK')	text/html	etag:W/%2244fce90fb0ea43968f81aa727e18040d%22	https://gearo-html.vercel.app/product-style-03.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/product-style-03.html	(from https://gearo-html.vercel.app/)
17:35:02	237558/237558	---MCZ	200	added ('OK')	text/html	etag:W/%22be57b4c7d43223c824ffa55cd20d8473%22	https://gearo-html.vercel.app/product-style-04.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/product-style-04.html	(from https://gearo-html.vercel.app/)
17:35:02	239262/239262	---MCZ	200	added ('OK')	text/html	etag:W/%223af9a3400f77f4cbfbd762cb655f1848%22	https://gearo-html.vercel.app/product-style-05.html	C:/My%20Web%20Sites/spl/gearo-html.vercel.app/product-style-05.html	(from https://gearo-html.vercel.app/)
